"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi"
1,"CCA-LDA",27,3,NA,NA,1,1
1,"PCA-LDA",35,0,NA,NA,1,1
10,"CCA-LDA",36,4,NA,NA,1,1
10,"PCA-LDA",25,1,NA,NA,1,1
100,"CCA-LDA",35,2,NA,NA,1,1
100,"PCA-LDA",39,0,NA,NA,1,1
101,"CCA-LDA",25,7,NA,NA,1,1
101,"PCA-LDA",35,1,NA,NA,1,1
102,"CCA-LDA",37,3,NA,NA,1,1
102,"PCA-LDA",33,0,NA,NA,1,1
103,"CCA-LDA",37,4,NA,NA,1,1
103,"PCA-LDA",39,0,NA,NA,1,1
104,"CCA-LDA",30,4,NA,NA,1,1
104,"PCA-LDA",35,3,NA,NA,1,1
105,"CCA-LDA",3,6,NA,NA,1,1
105,"PCA-LDA",35,0,NA,NA,1,1
106,"CCA-LDA",38,2,NA,NA,1,1
106,"PCA-LDA",31,0,NA,NA,1,1
107,"CCA-LDA",31,4,NA,NA,1,1
107,"PCA-LDA",37,0,NA,NA,1,1
108,"CCA-LDA",33,4,NA,NA,1,1
108,"PCA-LDA",33,0,NA,NA,1,1
109,"CCA-LDA",31,2,NA,NA,1,1
109,"PCA-LDA",37,0,NA,NA,1,1
11,"CCA-LDA",38,4,NA,NA,1,1
11,"PCA-LDA",37,1,NA,NA,1,1
110,"CCA-LDA",36,5,NA,NA,1,1
110,"PCA-LDA",34,1,NA,NA,1,1
111,"CCA-LDA",25,3,NA,NA,1,1
111,"PCA-LDA",30,0,NA,NA,1,1
112,"CCA-LDA",32,2,NA,NA,1,1
112,"PCA-LDA",37,0,NA,NA,1,1
113,"CCA-LDA",33,4,NA,NA,1,1
113,"PCA-LDA",33,0,NA,NA,1,1
114,"CCA-LDA",34,2,NA,NA,1,1
114,"PCA-LDA",37,0,NA,NA,1,1
115,"CCA-LDA",28,3,NA,NA,1,1
115,"PCA-LDA",37,0,NA,NA,1,1
116,"CCA-LDA",34,1,NA,NA,1,1
116,"PCA-LDA",39,0,NA,NA,1,1
117,"CCA-LDA",27,0,NA,NA,1,1
117,"PCA-LDA",30,0,NA,NA,1,1
118,"CCA-LDA",20,3,NA,NA,1,1
118,"PCA-LDA",33,2,NA,NA,1,1
119,"CCA-LDA",36,3,NA,NA,1,1
119,"PCA-LDA",32,0,NA,NA,1,1
12,"CCA-LDA",10,4,NA,NA,1,1
12,"PCA-LDA",37,1,NA,NA,1,1
120,"CCA-LDA",31,6,NA,NA,1,1
120,"PCA-LDA",24,1,NA,NA,1,1
121,"CCA-LDA",36,3,NA,NA,1,1
121,"PCA-LDA",39,0,NA,NA,1,1
122,"CCA-LDA",27,2,NA,NA,1,1
122,"PCA-LDA",17,1,NA,NA,1,1
123,"CCA-LDA",20,5,NA,NA,1,1
123,"PCA-LDA",38,0,NA,NA,1,1
124,"CCA-LDA",32,4,NA,NA,1,1
124,"PCA-LDA",29,0,NA,NA,1,1
125,"CCA-LDA",28,3,NA,NA,1,1
125,"PCA-LDA",25,1,NA,NA,1,1
126,"CCA-LDA",37,2,NA,NA,1,1
126,"PCA-LDA",29,0,NA,NA,1,1
127,"CCA-LDA",39,4,NA,NA,1,1
127,"PCA-LDA",34,0,NA,NA,1,1
128,"CCA-LDA",28,1,NA,NA,1,1
128,"PCA-LDA",31,0,NA,NA,1,1
129,"CCA-LDA",28,2,NA,NA,1,1
129,"PCA-LDA",37,0,NA,NA,1,1
13,"CCA-LDA",35,4,NA,NA,1,1
13,"PCA-LDA",32,0,NA,NA,1,1
130,"CCA-LDA",34,6,NA,NA,1,1
130,"PCA-LDA",35,0,NA,NA,1,1
131,"CCA-LDA",33,2,NA,NA,1,1
131,"PCA-LDA",35,0,NA,NA,1,1
132,"CCA-LDA",35,0,NA,NA,1,1
132,"PCA-LDA",30,0,NA,NA,1,1
133,"CCA-LDA",13,9,NA,NA,1,1
133,"PCA-LDA",36,1,NA,NA,1,1
134,"CCA-LDA",27,5,NA,NA,1,1
134,"PCA-LDA",37,1,NA,NA,1,1
135,"CCA-LDA",39,3,NA,NA,1,1
135,"PCA-LDA",39,0,NA,NA,1,1
136,"CCA-LDA",20,3,NA,NA,1,1
136,"PCA-LDA",26,1,NA,NA,1,1
137,"CCA-LDA",31,4,NA,NA,1,1
137,"PCA-LDA",39,2,NA,NA,1,1
138,"CCA-LDA",37,2,NA,NA,1,1
138,"PCA-LDA",36,0,NA,NA,1,1
139,"CCA-LDA",33,5,NA,NA,1,1
139,"PCA-LDA",39,1,NA,NA,1,1
14,"CCA-LDA",39,2,NA,NA,1,1
14,"PCA-LDA",38,0,NA,NA,1,1
140,"CCA-LDA",37,1,NA,NA,1,1
140,"PCA-LDA",35,0,NA,NA,1,1
141,"CCA-LDA",33,7,NA,NA,1,1
141,"PCA-LDA",39,0,NA,NA,1,1
142,"CCA-LDA",16,4,NA,NA,1,1
142,"PCA-LDA",34,1,NA,NA,1,1
143,"CCA-LDA",39,2,NA,NA,1,1
143,"PCA-LDA",37,1,NA,NA,1,1
144,"CCA-LDA",26,3,NA,NA,1,1
144,"PCA-LDA",38,0,NA,NA,1,1
145,"CCA-LDA",37,3,NA,NA,1,1
145,"PCA-LDA",33,0,NA,NA,1,1
146,"CCA-LDA",23,3,NA,NA,1,1
146,"PCA-LDA",37,0,NA,NA,1,1
147,"CCA-LDA",34,4,NA,NA,1,1
147,"PCA-LDA",34,0,NA,NA,1,1
148,"CCA-LDA",15,6,NA,NA,1,1
148,"PCA-LDA",37,1,NA,NA,1,1
149,"CCA-LDA",38,4,NA,NA,1,1
149,"PCA-LDA",35,0,NA,NA,1,1
15,"CCA-LDA",38,4,NA,NA,1,1
15,"PCA-LDA",37,0,NA,NA,1,1
150,"CCA-LDA",18,3,NA,NA,1,1
150,"PCA-LDA",39,1,NA,NA,1,1
151,"CCA-LDA",26,5,NA,NA,1,1
151,"PCA-LDA",28,0,NA,NA,1,1
152,"CCA-LDA",39,7,NA,NA,1,1
152,"PCA-LDA",34,3,NA,NA,1,1
153,"CCA-LDA",33,4,NA,NA,1,1
153,"PCA-LDA",35,0,NA,NA,1,1
154,"CCA-LDA",36,3,NA,NA,1,1
154,"PCA-LDA",27,1,NA,NA,1,1
155,"CCA-LDA",28,8,NA,NA,1,1
155,"PCA-LDA",28,1,NA,NA,1,1
156,"CCA-LDA",22,3,NA,NA,1,1
156,"PCA-LDA",29,0,NA,NA,1,1
157,"CCA-LDA",29,4,NA,NA,1,1
157,"PCA-LDA",21,2,NA,NA,1,1
158,"CCA-LDA",32,2,NA,NA,1,1
158,"PCA-LDA",32,0,NA,NA,1,1
159,"CCA-LDA",35,7,NA,NA,1,1
159,"PCA-LDA",30,1,NA,NA,1,1
16,"CCA-LDA",32,6,NA,NA,1,1
16,"PCA-LDA",28,0,NA,NA,1,1
160,"CCA-LDA",33,3,NA,NA,1,1
160,"PCA-LDA",36,0,NA,NA,1,1
161,"CCA-LDA",36,1,NA,NA,1,1
161,"PCA-LDA",30,3,NA,NA,1,1
162,"CCA-LDA",37,5,NA,NA,1,1
162,"PCA-LDA",35,1,NA,NA,1,1
163,"CCA-LDA",26,4,NA,NA,1,1
163,"PCA-LDA",28,1,NA,NA,1,1
164,"CCA-LDA",23,5,NA,NA,1,1
164,"PCA-LDA",39,1,NA,NA,1,1
165,"CCA-LDA",36,4,NA,NA,1,1
165,"PCA-LDA",35,1,NA,NA,1,1
166,"CCA-LDA",28,4,NA,NA,1,1
166,"PCA-LDA",34,0,NA,NA,1,1
167,"CCA-LDA",32,3,NA,NA,1,1
167,"PCA-LDA",36,1,NA,NA,1,1
168,"CCA-LDA",27,3,NA,NA,1,1
168,"PCA-LDA",38,0,NA,NA,1,1
169,"CCA-LDA",39,5,NA,NA,1,1
169,"PCA-LDA",34,1,NA,NA,1,1
17,"CCA-LDA",36,2,NA,NA,1,1
17,"PCA-LDA",39,0,NA,NA,1,1
170,"CCA-LDA",36,4,NA,NA,1,1
170,"PCA-LDA",35,0,NA,NA,1,1
171,"CCA-LDA",37,5,NA,NA,1,1
171,"PCA-LDA",30,0,NA,NA,1,1
172,"CCA-LDA",34,5,NA,NA,1,1
172,"PCA-LDA",38,0,NA,NA,1,1
173,"CCA-LDA",25,3,NA,NA,1,1
173,"PCA-LDA",25,0,NA,NA,1,1
174,"CCA-LDA",33,3,NA,NA,1,1
174,"PCA-LDA",32,0,NA,NA,1,1
175,"CCA-LDA",35,4,NA,NA,1,1
175,"PCA-LDA",34,0,NA,NA,1,1
176,"CCA-LDA",35,2,NA,NA,1,1
176,"PCA-LDA",31,0,NA,NA,1,1
177,"CCA-LDA",38,4,NA,NA,1,1
177,"PCA-LDA",39,0,NA,NA,1,1
178,"CCA-LDA",37,2,NA,NA,1,1
178,"PCA-LDA",33,1,NA,NA,1,1
179,"CCA-LDA",38,3,NA,NA,1,1
179,"PCA-LDA",36,0,NA,NA,1,1
18,"CCA-LDA",24,3,NA,NA,1,1
18,"PCA-LDA",32,2,NA,NA,1,1
180,"CCA-LDA",39,2,NA,NA,1,1
180,"PCA-LDA",32,0,NA,NA,1,1
181,"CCA-LDA",30,7,NA,NA,1,1
181,"PCA-LDA",39,1,NA,NA,1,1
182,"CCA-LDA",25,4,NA,NA,1,1
182,"PCA-LDA",36,0,NA,NA,1,1
183,"CCA-LDA",35,4,NA,NA,1,1
183,"PCA-LDA",37,1,NA,NA,1,1
184,"CCA-LDA",38,4,NA,NA,1,1
184,"PCA-LDA",34,0,NA,NA,1,1
185,"CCA-LDA",35,1,NA,NA,1,1
185,"PCA-LDA",39,0,NA,NA,1,1
186,"CCA-LDA",21,1,NA,NA,1,1
186,"PCA-LDA",37,0,NA,NA,1,1
187,"CCA-LDA",25,3,NA,NA,1,1
187,"PCA-LDA",37,0,NA,NA,1,1
188,"CCA-LDA",34,2,NA,NA,1,1
188,"PCA-LDA",26,0,NA,NA,1,1
189,"CCA-LDA",38,4,NA,NA,1,1
189,"PCA-LDA",32,0,NA,NA,1,1
19,"CCA-LDA",38,3,NA,NA,1,1
19,"PCA-LDA",31,0,NA,NA,1,1
190,"CCA-LDA",32,3,NA,NA,1,1
190,"PCA-LDA",32,0,NA,NA,1,1
191,"CCA-LDA",36,6,NA,NA,1,1
191,"PCA-LDA",39,1,NA,NA,1,1
192,"CCA-LDA",36,2,NA,NA,1,1
192,"PCA-LDA",33,0,NA,NA,1,1
193,"CCA-LDA",38,3,NA,NA,1,1
193,"PCA-LDA",30,0,NA,NA,1,1
194,"CCA-LDA",35,5,NA,NA,1,1
194,"PCA-LDA",35,0,NA,NA,1,1
195,"CCA-LDA",22,4,NA,NA,1,1
195,"PCA-LDA",33,1,NA,NA,1,1
196,"CCA-LDA",31,4,NA,NA,1,1
196,"PCA-LDA",38,0,NA,NA,1,1
197,"CCA-LDA",38,7,NA,NA,1,1
197,"PCA-LDA",39,0,NA,NA,1,1
198,"CCA-LDA",17,5,NA,NA,1,1
198,"PCA-LDA",38,0,NA,NA,1,1
199,"CCA-LDA",29,5,NA,NA,1,1
199,"PCA-LDA",28,2,NA,NA,1,1
2,"CCA-LDA",19,4,NA,NA,1,1
2,"PCA-LDA",24,2,NA,NA,1,1
20,"CCA-LDA",14,4,NA,NA,1,1
20,"PCA-LDA",30,2,NA,NA,1,1
200,"CCA-LDA",27,3,NA,NA,1,1
200,"PCA-LDA",39,2,NA,NA,1,1
21,"CCA-LDA",33,2,NA,NA,1,1
21,"PCA-LDA",38,1,NA,NA,1,1
22,"CCA-LDA",31,4,NA,NA,1,1
22,"PCA-LDA",36,0,NA,NA,1,1
23,"CCA-LDA",34,0,NA,NA,1,1
23,"PCA-LDA",32,0,NA,NA,1,1
24,"CCA-LDA",37,4,NA,NA,1,1
24,"PCA-LDA",38,1,NA,NA,1,1
25,"CCA-LDA",38,3,NA,NA,1,1
25,"PCA-LDA",38,0,NA,NA,1,1
26,"CCA-LDA",36,2,NA,NA,1,1
26,"PCA-LDA",33,0,NA,NA,1,1
27,"CCA-LDA",29,6,NA,NA,1,1
27,"PCA-LDA",31,1,NA,NA,1,1
28,"CCA-LDA",25,1,NA,NA,1,1
28,"PCA-LDA",39,0,NA,NA,1,1
29,"CCA-LDA",23,4,NA,NA,1,1
29,"PCA-LDA",36,1,NA,NA,1,1
3,"CCA-LDA",32,3,NA,NA,1,1
3,"PCA-LDA",36,0,NA,NA,1,1
30,"CCA-LDA",31,3,NA,NA,1,1
30,"PCA-LDA",39,1,NA,NA,1,1
31,"CCA-LDA",31,5,NA,NA,1,1
31,"PCA-LDA",32,0,NA,NA,1,1
32,"CCA-LDA",33,0,NA,NA,1,1
32,"PCA-LDA",39,0,NA,NA,1,1
33,"CCA-LDA",21,2,NA,NA,1,1
33,"PCA-LDA",29,1,NA,NA,1,1
34,"CCA-LDA",29,4,NA,NA,1,1
34,"PCA-LDA",38,1,NA,NA,1,1
35,"CCA-LDA",34,6,NA,NA,1,1
35,"PCA-LDA",39,1,NA,NA,1,1
36,"CCA-LDA",24,5,NA,NA,1,1
36,"PCA-LDA",28,0,NA,NA,1,1
37,"CCA-LDA",34,1,NA,NA,1,1
37,"PCA-LDA",31,0,NA,NA,1,1
38,"CCA-LDA",17,7,NA,NA,1,1
38,"PCA-LDA",29,0,NA,NA,1,1
39,"CCA-LDA",31,3,NA,NA,1,1
39,"PCA-LDA",38,0,NA,NA,1,1
4,"CCA-LDA",31,3,NA,NA,1,1
4,"PCA-LDA",36,0,NA,NA,1,1
40,"CCA-LDA",38,0,NA,NA,1,1
40,"PCA-LDA",32,0,NA,NA,1,1
41,"CCA-LDA",37,3,NA,NA,1,1
41,"PCA-LDA",38,1,NA,NA,1,1
42,"CCA-LDA",30,3,NA,NA,1,1
42,"PCA-LDA",36,0,NA,NA,1,1
43,"CCA-LDA",37,4,NA,NA,1,1
43,"PCA-LDA",38,2,NA,NA,1,1
44,"CCA-LDA",24,4,NA,NA,1,1
44,"PCA-LDA",37,0,NA,NA,1,1
45,"CCA-LDA",32,5,NA,NA,1,1
45,"PCA-LDA",25,0,NA,NA,1,1
46,"CCA-LDA",16,3,NA,NA,1,1
46,"PCA-LDA",18,3,NA,NA,1,1
47,"CCA-LDA",33,2,NA,NA,1,1
47,"PCA-LDA",31,0,NA,NA,1,1
48,"CCA-LDA",38,3,NA,NA,1,1
48,"PCA-LDA",36,1,NA,NA,1,1
49,"CCA-LDA",32,6,NA,NA,1,1
49,"PCA-LDA",37,0,NA,NA,1,1
5,"CCA-LDA",25,4,NA,NA,1,1
5,"PCA-LDA",27,2,NA,NA,1,1
50,"CCA-LDA",36,6,NA,NA,1,1
50,"PCA-LDA",32,0,NA,NA,1,1
51,"CCA-LDA",34,3,NA,NA,1,1
51,"PCA-LDA",39,0,NA,NA,1,1
52,"CCA-LDA",39,3,NA,NA,1,1
52,"PCA-LDA",37,0,NA,NA,1,1
53,"CCA-LDA",39,4,NA,NA,1,1
53,"PCA-LDA",34,2,NA,NA,1,1
54,"CCA-LDA",39,6,NA,NA,1,1
54,"PCA-LDA",39,1,NA,NA,1,1
55,"CCA-LDA",29,3,NA,NA,1,1
55,"PCA-LDA",36,0,NA,NA,1,1
56,"CCA-LDA",39,2,NA,NA,1,1
56,"PCA-LDA",37,0,NA,NA,1,1
57,"CCA-LDA",27,5,NA,NA,1,1
57,"PCA-LDA",32,0,NA,NA,1,1
58,"CCA-LDA",35,6,NA,NA,1,1
58,"PCA-LDA",37,1,NA,NA,1,1
59,"CCA-LDA",36,3,NA,NA,1,1
59,"PCA-LDA",31,0,NA,NA,1,1
6,"CCA-LDA",28,4,NA,NA,1,1
6,"PCA-LDA",39,1,NA,NA,1,1
60,"CCA-LDA",32,7,NA,NA,1,1
60,"PCA-LDA",38,1,NA,NA,1,1
61,"CCA-LDA",19,4,NA,NA,1,1
61,"PCA-LDA",37,0,NA,NA,1,1
62,"CCA-LDA",21,3,NA,NA,1,1
62,"PCA-LDA",24,0,NA,NA,1,1
63,"CCA-LDA",32,4,NA,NA,1,1
63,"PCA-LDA",38,3,NA,NA,1,1
64,"CCA-LDA",38,5,NA,NA,1,1
64,"PCA-LDA",37,0,NA,NA,1,1
65,"CCA-LDA",39,4,NA,NA,1,1
65,"PCA-LDA",34,0,NA,NA,1,1
66,"CCA-LDA",18,3,NA,NA,1,1
66,"PCA-LDA",35,0,NA,NA,1,1
67,"CCA-LDA",32,3,NA,NA,1,1
67,"PCA-LDA",35,0,NA,NA,1,1
68,"CCA-LDA",32,1,NA,NA,1,1
68,"PCA-LDA",37,0,NA,NA,1,1
69,"CCA-LDA",35,4,NA,NA,1,1
69,"PCA-LDA",37,0,NA,NA,1,1
7,"CCA-LDA",38,3,NA,NA,1,1
7,"PCA-LDA",39,1,NA,NA,1,1
70,"CCA-LDA",16,5,NA,NA,1,1
70,"PCA-LDA",32,1,NA,NA,1,1
71,"CCA-LDA",10,5,NA,NA,1,1
71,"PCA-LDA",38,0,NA,NA,1,1
72,"CCA-LDA",30,1,NA,NA,1,1
72,"PCA-LDA",37,1,NA,NA,1,1
73,"CCA-LDA",16,5,NA,NA,1,1
73,"PCA-LDA",34,0,NA,NA,1,1
74,"CCA-LDA",35,4,NA,NA,1,1
74,"PCA-LDA",31,2,NA,NA,1,1
75,"CCA-LDA",17,4,NA,NA,1,1
75,"PCA-LDA",36,0,NA,NA,1,1
76,"CCA-LDA",25,3,NA,NA,1,1
76,"PCA-LDA",29,0,NA,NA,1,1
77,"CCA-LDA",16,5,NA,NA,1,1
77,"PCA-LDA",39,0,NA,NA,1,1
78,"CCA-LDA",34,2,NA,NA,1,1
78,"PCA-LDA",31,1,NA,NA,1,1
79,"CCA-LDA",33,1,NA,NA,1,1
79,"PCA-LDA",36,0,NA,NA,1,1
8,"CCA-LDA",23,4,NA,NA,1,1
8,"PCA-LDA",38,0,NA,NA,1,1
80,"CCA-LDA",37,3,NA,NA,1,1
80,"PCA-LDA",29,2,NA,NA,1,1
81,"CCA-LDA",34,4,NA,NA,1,1
81,"PCA-LDA",39,1,NA,NA,1,1
82,"CCA-LDA",35,7,NA,NA,1,1
82,"PCA-LDA",34,0,NA,NA,1,1
83,"CCA-LDA",27,4,NA,NA,1,1
83,"PCA-LDA",35,1,NA,NA,1,1
84,"CCA-LDA",25,4,NA,NA,1,1
84,"PCA-LDA",39,0,NA,NA,1,1
85,"CCA-LDA",38,2,NA,NA,1,1
85,"PCA-LDA",32,1,NA,NA,1,1
86,"CCA-LDA",14,2,NA,NA,1,1
86,"PCA-LDA",38,1,NA,NA,1,1
87,"CCA-LDA",11,0,NA,NA,1,1
87,"PCA-LDA",30,1,NA,NA,1,1
88,"CCA-LDA",34,4,NA,NA,1,1
88,"PCA-LDA",34,0,NA,NA,1,1
89,"CCA-LDA",38,0,NA,NA,1,1
89,"PCA-LDA",34,0,NA,NA,1,1
9,"CCA-LDA",38,2,NA,NA,1,1
9,"PCA-LDA",38,0,NA,NA,1,1
90,"CCA-LDA",24,5,NA,NA,1,1
90,"PCA-LDA",35,0,NA,NA,1,1
91,"CCA-LDA",39,4,NA,NA,1,1
91,"PCA-LDA",39,1,NA,NA,1,1
92,"CCA-LDA",38,3,NA,NA,1,1
92,"PCA-LDA",38,1,NA,NA,1,1
93,"CCA-LDA",33,4,NA,NA,1,1
93,"PCA-LDA",36,1,NA,NA,1,1
94,"CCA-LDA",37,3,NA,NA,1,1
94,"PCA-LDA",37,0,NA,NA,1,1
95,"CCA-LDA",28,5,NA,NA,1,1
95,"PCA-LDA",24,0,NA,NA,1,1
96,"CCA-LDA",25,4,NA,NA,1,1
96,"PCA-LDA",30,0,NA,NA,1,1
97,"CCA-LDA",35,0,NA,NA,1,1
97,"PCA-LDA",33,0,NA,NA,1,1
98,"CCA-LDA",37,5,NA,NA,1,1
98,"PCA-LDA",31,0,NA,NA,1,1
99,"CCA-LDA",28,1,NA,NA,1,1
99,"PCA-LDA",36,0,NA,NA,1,1
1,"CCA-LDA",36,0,NA,NA,1,2
1,"PCA-LDA",26,0,NA,NA,1,2
10,"CCA-LDA",22,0,NA,NA,1,2
10,"PCA-LDA",18,1,NA,NA,1,2
100,"CCA-LDA",38,0,NA,NA,1,2
100,"PCA-LDA",30,0,NA,NA,1,2
101,"CCA-LDA",32,2,NA,NA,1,2
101,"PCA-LDA",32,0,NA,NA,1,2
102,"CCA-LDA",38,0,NA,NA,1,2
102,"PCA-LDA",33,0,NA,NA,1,2
103,"CCA-LDA",32,1,NA,NA,1,2
103,"PCA-LDA",36,0,NA,NA,1,2
104,"CCA-LDA",18,1,NA,NA,1,2
104,"PCA-LDA",39,0,NA,NA,1,2
105,"CCA-LDA",14,0,NA,NA,1,2
105,"PCA-LDA",24,0,NA,NA,1,2
106,"CCA-LDA",28,0,NA,NA,1,2
106,"PCA-LDA",28,0,NA,NA,1,2
107,"CCA-LDA",37,1,NA,NA,1,2
107,"PCA-LDA",25,0,NA,NA,1,2
108,"CCA-LDA",27,1,NA,NA,1,2
108,"PCA-LDA",24,0,NA,NA,1,2
109,"CCA-LDA",36,0,NA,NA,1,2
109,"PCA-LDA",33,0,NA,NA,1,2
11,"CCA-LDA",18,0,NA,NA,1,2
11,"PCA-LDA",30,0,NA,NA,1,2
110,"CCA-LDA",37,0,NA,NA,1,2
110,"PCA-LDA",37,0,NA,NA,1,2
111,"CCA-LDA",37,0,NA,NA,1,2
111,"PCA-LDA",26,0,NA,NA,1,2
112,"CCA-LDA",33,0,NA,NA,1,2
112,"PCA-LDA",19,1,NA,NA,1,2
113,"CCA-LDA",36,0,NA,NA,1,2
113,"PCA-LDA",30,0,NA,NA,1,2
114,"CCA-LDA",16,0,NA,NA,1,2
114,"PCA-LDA",33,0,NA,NA,1,2
115,"CCA-LDA",28,0,NA,NA,1,2
115,"PCA-LDA",33,0,NA,NA,1,2
116,"CCA-LDA",24,0,NA,NA,1,2
116,"PCA-LDA",29,0,NA,NA,1,2
117,"CCA-LDA",37,0,NA,NA,1,2
117,"PCA-LDA",36,0,NA,NA,1,2
118,"CCA-LDA",13,2,NA,NA,1,2
118,"PCA-LDA",31,2,NA,NA,1,2
119,"CCA-LDA",27,0,NA,NA,1,2
119,"PCA-LDA",32,0,NA,NA,1,2
12,"CCA-LDA",14,2,NA,NA,1,2
12,"PCA-LDA",39,0,NA,NA,1,2
120,"CCA-LDA",31,0,NA,NA,1,2
120,"PCA-LDA",28,0,NA,NA,1,2
121,"CCA-LDA",17,0,NA,NA,1,2
121,"PCA-LDA",33,1,NA,NA,1,2
122,"CCA-LDA",28,0,NA,NA,1,2
122,"PCA-LDA",31,1,NA,NA,1,2
123,"CCA-LDA",25,0,NA,NA,1,2
123,"PCA-LDA",28,0,NA,NA,1,2
124,"CCA-LDA",17,0,NA,NA,1,2
124,"PCA-LDA",27,0,NA,NA,1,2
125,"CCA-LDA",14,0,NA,NA,1,2
125,"PCA-LDA",27,1,NA,NA,1,2
126,"CCA-LDA",16,0,NA,NA,1,2
126,"PCA-LDA",24,0,NA,NA,1,2
127,"CCA-LDA",22,0,NA,NA,1,2
127,"PCA-LDA",31,0,NA,NA,1,2
128,"CCA-LDA",36,0,NA,NA,1,2
128,"PCA-LDA",28,0,NA,NA,1,2
129,"CCA-LDA",33,0,NA,NA,1,2
129,"PCA-LDA",34,0,NA,NA,1,2
13,"CCA-LDA",14,0,NA,NA,1,2
13,"PCA-LDA",27,0,NA,NA,1,2
130,"CCA-LDA",15,0,NA,NA,1,2
130,"PCA-LDA",19,1,NA,NA,1,2
131,"CCA-LDA",29,0,NA,NA,1,2
131,"PCA-LDA",31,0,NA,NA,1,2
132,"CCA-LDA",32,1,NA,NA,1,2
132,"PCA-LDA",28,0,NA,NA,1,2
133,"CCA-LDA",28,2,NA,NA,1,2
133,"PCA-LDA",36,0,NA,NA,1,2
134,"CCA-LDA",34,0,NA,NA,1,2
134,"PCA-LDA",37,0,NA,NA,1,2
135,"CCA-LDA",28,0,NA,NA,1,2
135,"PCA-LDA",37,0,NA,NA,1,2
136,"CCA-LDA",20,0,NA,NA,1,2
136,"PCA-LDA",22,1,NA,NA,1,2
137,"CCA-LDA",36,0,NA,NA,1,2
137,"PCA-LDA",30,1,NA,NA,1,2
138,"CCA-LDA",32,0,NA,NA,1,2
138,"PCA-LDA",26,0,NA,NA,1,2
139,"CCA-LDA",23,0,NA,NA,1,2
139,"PCA-LDA",36,0,NA,NA,1,2
14,"CCA-LDA",12,0,NA,NA,1,2
14,"PCA-LDA",33,0,NA,NA,1,2
140,"CCA-LDA",17,0,NA,NA,1,2
140,"PCA-LDA",32,0,NA,NA,1,2
141,"CCA-LDA",34,0,NA,NA,1,2
141,"PCA-LDA",37,0,NA,NA,1,2
142,"CCA-LDA",32,0,NA,NA,1,2
