"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi"
142,"PCA-LDA",32,0,NA,NA,1,2
143,"CCA-LDA",32,0,NA,NA,1,2
143,"PCA-LDA",34,0,NA,NA,1,2
144,"CCA-LDA",13,1,NA,NA,1,2
144,"PCA-LDA",33,0,NA,NA,1,2
145,"CCA-LDA",20,0,NA,NA,1,2
145,"PCA-LDA",32,0,NA,NA,1,2
146,"CCA-LDA",16,0,NA,NA,1,2
146,"PCA-LDA",36,0,NA,NA,1,2
147,"CCA-LDA",17,2,NA,NA,1,2
147,"PCA-LDA",29,0,NA,NA,1,2
148,"CCA-LDA",21,0,NA,NA,1,2
148,"PCA-LDA",35,0,NA,NA,1,2
149,"CCA-LDA",30,0,NA,NA,1,2
149,"PCA-LDA",32,0,NA,NA,1,2
15,"CCA-LDA",33,0,NA,NA,1,2
15,"PCA-LDA",36,0,NA,NA,1,2
150,"CCA-LDA",36,0,NA,NA,1,2
150,"PCA-LDA",33,1,NA,NA,1,2
151,"CCA-LDA",14,0,NA,NA,1,2
151,"PCA-LDA",23,0,NA,NA,1,2
152,"CCA-LDA",32,0,NA,NA,1,2
152,"PCA-LDA",31,1,NA,NA,1,2
153,"CCA-LDA",38,2,NA,NA,1,2
153,"PCA-LDA",31,0,NA,NA,1,2
154,"CCA-LDA",15,1,NA,NA,1,2
154,"PCA-LDA",27,0,NA,NA,1,2
155,"CCA-LDA",30,0,NA,NA,1,2
155,"PCA-LDA",32,0,NA,NA,1,2
156,"CCA-LDA",32,0,NA,NA,1,2
156,"PCA-LDA",22,0,NA,NA,1,2
157,"CCA-LDA",39,2,NA,NA,1,2
157,"PCA-LDA",22,1,NA,NA,1,2
158,"CCA-LDA",26,0,NA,NA,1,2
158,"PCA-LDA",28,0,NA,NA,1,2
159,"CCA-LDA",14,0,NA,NA,1,2
159,"PCA-LDA",29,0,NA,NA,1,2
16,"CCA-LDA",16,0,NA,NA,1,2
16,"PCA-LDA",27,0,NA,NA,1,2
160,"CCA-LDA",29,0,NA,NA,1,2
160,"PCA-LDA",36,0,NA,NA,1,2
161,"CCA-LDA",14,0,NA,NA,1,2
161,"PCA-LDA",36,2,NA,NA,1,2
162,"CCA-LDA",38,1,NA,NA,1,2
162,"PCA-LDA",37,1,NA,NA,1,2
163,"CCA-LDA",29,1,NA,NA,1,2
163,"PCA-LDA",22,2,NA,NA,1,2
164,"CCA-LDA",34,0,NA,NA,1,2
164,"PCA-LDA",36,0,NA,NA,1,2
165,"CCA-LDA",14,1,NA,NA,1,2
165,"PCA-LDA",33,0,NA,NA,1,2
166,"CCA-LDA",24,0,NA,NA,1,2
166,"PCA-LDA",29,0,NA,NA,1,2
167,"CCA-LDA",25,0,NA,NA,1,2
167,"PCA-LDA",33,1,NA,NA,1,2
168,"CCA-LDA",15,0,NA,NA,1,2
168,"PCA-LDA",29,0,NA,NA,1,2
169,"CCA-LDA",13,2,NA,NA,1,2
169,"PCA-LDA",29,0,NA,NA,1,2
17,"CCA-LDA",28,0,NA,NA,1,2
17,"PCA-LDA",38,0,NA,NA,1,2
170,"CCA-LDA",15,2,NA,NA,1,2
170,"PCA-LDA",31,0,NA,NA,1,2
171,"CCA-LDA",32,0,NA,NA,1,2
171,"PCA-LDA",34,0,NA,NA,1,2
172,"CCA-LDA",35,1,NA,NA,1,2
172,"PCA-LDA",36,0,NA,NA,1,2
173,"CCA-LDA",23,0,NA,NA,1,2
173,"PCA-LDA",23,0,NA,NA,1,2
174,"CCA-LDA",31,0,NA,NA,1,2
174,"PCA-LDA",31,0,NA,NA,1,2
175,"CCA-LDA",28,0,NA,NA,1,2
175,"PCA-LDA",34,0,NA,NA,1,2
176,"CCA-LDA",30,0,NA,NA,1,2
176,"PCA-LDA",27,0,NA,NA,1,2
177,"CCA-LDA",36,0,NA,NA,1,2
177,"PCA-LDA",32,0,NA,NA,1,2
178,"CCA-LDA",32,0,NA,NA,1,2
178,"PCA-LDA",33,1,NA,NA,1,2
179,"CCA-LDA",28,0,NA,NA,1,2
179,"PCA-LDA",28,0,NA,NA,1,2
18,"CCA-LDA",29,1,NA,NA,1,2
18,"PCA-LDA",34,1,NA,NA,1,2
180,"CCA-LDA",18,0,NA,NA,1,2
180,"PCA-LDA",32,0,NA,NA,1,2
181,"CCA-LDA",13,0,NA,NA,1,2
181,"PCA-LDA",34,0,NA,NA,1,2
182,"CCA-LDA",31,1,NA,NA,1,2
182,"PCA-LDA",32,0,NA,NA,1,2
183,"CCA-LDA",37,1,NA,NA,1,2
183,"PCA-LDA",36,1,NA,NA,1,2
184,"CCA-LDA",13,0,NA,NA,1,2
184,"PCA-LDA",38,0,NA,NA,1,2
185,"CCA-LDA",21,2,NA,NA,1,2
185,"PCA-LDA",34,0,NA,NA,1,2
186,"CCA-LDA",39,0,NA,NA,1,2
186,"PCA-LDA",31,0,NA,NA,1,2
187,"CCA-LDA",26,0,NA,NA,1,2
187,"PCA-LDA",35,0,NA,NA,1,2
188,"CCA-LDA",19,0,NA,NA,1,2
188,"PCA-LDA",22,0,NA,NA,1,2
189,"CCA-LDA",21,0,NA,NA,1,2
189,"PCA-LDA",29,0,NA,NA,1,2
19,"CCA-LDA",25,0,NA,NA,1,2
19,"PCA-LDA",31,0,NA,NA,1,2
190,"CCA-LDA",31,0,NA,NA,1,2
190,"PCA-LDA",26,0,NA,NA,1,2
191,"CCA-LDA",16,2,NA,NA,1,2
191,"PCA-LDA",35,2,NA,NA,1,2
192,"CCA-LDA",14,0,NA,NA,1,2
192,"PCA-LDA",26,0,NA,NA,1,2
193,"CCA-LDA",22,0,NA,NA,1,2
193,"PCA-LDA",28,0,NA,NA,1,2
194,"CCA-LDA",28,0,NA,NA,1,2
194,"PCA-LDA",25,0,NA,NA,1,2
195,"CCA-LDA",18,3,NA,NA,1,2
195,"PCA-LDA",38,1,NA,NA,1,2
196,"CCA-LDA",25,0,NA,NA,1,2
196,"PCA-LDA",34,0,NA,NA,1,2
197,"CCA-LDA",20,0,NA,NA,1,2
197,"PCA-LDA",32,0,NA,NA,1,2
198,"CCA-LDA",31,0,NA,NA,1,2
198,"PCA-LDA",25,0,NA,NA,1,2
199,"CCA-LDA",14,0,NA,NA,1,2
199,"PCA-LDA",39,1,NA,NA,1,2
2,"CCA-LDA",32,0,NA,NA,1,2
2,"PCA-LDA",38,0,NA,NA,1,2
20,"CCA-LDA",16,1,NA,NA,1,2
20,"PCA-LDA",35,0,NA,NA,1,2
200,"CCA-LDA",25,1,NA,NA,1,2
200,"PCA-LDA",35,0,NA,NA,1,2
21,"CCA-LDA",14,0,NA,NA,1,2
21,"PCA-LDA",34,0,NA,NA,1,2
22,"CCA-LDA",16,0,NA,NA,1,2
22,"PCA-LDA",25,0,NA,NA,1,2
23,"CCA-LDA",37,0,NA,NA,1,2
23,"PCA-LDA",25,0,NA,NA,1,2
24,"CCA-LDA",34,1,NA,NA,1,2
24,"PCA-LDA",34,0,NA,NA,1,2
25,"CCA-LDA",29,0,NA,NA,1,2
25,"PCA-LDA",27,0,NA,NA,1,2
26,"CCA-LDA",14,0,NA,NA,1,2
26,"PCA-LDA",29,0,NA,NA,1,2
27,"CCA-LDA",13,2,NA,NA,1,2
27,"PCA-LDA",30,0,NA,NA,1,2
28,"CCA-LDA",30,0,NA,NA,1,2
28,"PCA-LDA",36,0,NA,NA,1,2
29,"CCA-LDA",21,1,NA,NA,1,2
29,"PCA-LDA",32,0,NA,NA,1,2
3,"CCA-LDA",27,0,NA,NA,1,2
3,"PCA-LDA",30,0,NA,NA,1,2
30,"CCA-LDA",36,3,NA,NA,1,2
30,"PCA-LDA",38,0,NA,NA,1,2
31,"CCA-LDA",20,0,NA,NA,1,2
31,"PCA-LDA",32,0,NA,NA,1,2
32,"CCA-LDA",20,0,NA,NA,1,2
32,"PCA-LDA",25,0,NA,NA,1,2
33,"CCA-LDA",32,2,NA,NA,1,2
33,"PCA-LDA",29,0,NA,NA,1,2
34,"CCA-LDA",21,1,NA,NA,1,2
34,"PCA-LDA",34,1,NA,NA,1,2
35,"CCA-LDA",33,0,NA,NA,1,2
35,"PCA-LDA",39,0,NA,NA,1,2
36,"CCA-LDA",29,0,NA,NA,1,2
36,"PCA-LDA",33,1,NA,NA,1,2
37,"CCA-LDA",30,0,NA,NA,1,2
37,"PCA-LDA",31,0,NA,NA,1,2
38,"CCA-LDA",38,0,NA,NA,1,2
38,"PCA-LDA",25,0,NA,NA,1,2
39,"CCA-LDA",17,0,NA,NA,1,2
39,"PCA-LDA",37,0,NA,NA,1,2
4,"CCA-LDA",38,0,NA,NA,1,2
4,"PCA-LDA",33,0,NA,NA,1,2
40,"CCA-LDA",33,0,NA,NA,1,2
40,"PCA-LDA",36,0,NA,NA,1,2
41,"CCA-LDA",34,0,NA,NA,1,2
41,"PCA-LDA",33,1,NA,NA,1,2
42,"CCA-LDA",20,0,NA,NA,1,2
42,"PCA-LDA",27,0,NA,NA,1,2
43,"CCA-LDA",21,0,NA,NA,1,2
43,"PCA-LDA",37,0,NA,NA,1,2
44,"CCA-LDA",38,0,NA,NA,1,2
44,"PCA-LDA",28,0,NA,NA,1,2
45,"CCA-LDA",15,0,NA,NA,1,2
45,"PCA-LDA",23,0,NA,NA,1,2
46,"CCA-LDA",14,0,NA,NA,1,2
46,"PCA-LDA",35,2,NA,NA,1,2
47,"CCA-LDA",36,0,NA,NA,1,2
47,"PCA-LDA",28,0,NA,NA,1,2
48,"CCA-LDA",18,0,NA,NA,1,2
48,"PCA-LDA",28,0,NA,NA,1,2
49,"CCA-LDA",23,1,NA,NA,1,2
49,"PCA-LDA",39,0,NA,NA,1,2
5,"CCA-LDA",35,1,NA,NA,1,2
5,"PCA-LDA",38,0,NA,NA,1,2
50,"CCA-LDA",16,1,NA,NA,1,2
50,"PCA-LDA",26,0,NA,NA,1,2
51,"CCA-LDA",33,0,NA,NA,1,2
51,"PCA-LDA",35,0,NA,NA,1,2
52,"CCA-LDA",15,3,NA,NA,1,2
52,"PCA-LDA",36,0,NA,NA,1,2
53,"CCA-LDA",31,1,NA,NA,1,2
53,"PCA-LDA",32,0,NA,NA,1,2
54,"CCA-LDA",28,0,NA,NA,1,2
54,"PCA-LDA",37,0,NA,NA,1,2
55,"CCA-LDA",12,1,NA,NA,1,2
55,"PCA-LDA",31,0,NA,NA,1,2
56,"CCA-LDA",21,0,NA,NA,1,2
56,"PCA-LDA",33,0,NA,NA,1,2
57,"CCA-LDA",29,0,NA,NA,1,2
57,"PCA-LDA",29,0,NA,NA,1,2
58,"CCA-LDA",26,0,NA,NA,1,2
58,"PCA-LDA",31,1,NA,NA,1,2
59,"CCA-LDA",30,0,NA,NA,1,2
59,"PCA-LDA",28,0,NA,NA,1,2
6,"CCA-LDA",20,2,NA,NA,1,2
6,"PCA-LDA",39,0,NA,NA,1,2
60,"CCA-LDA",37,0,NA,NA,1,2
60,"PCA-LDA",38,0,NA,NA,1,2
61,"CCA-LDA",34,1,NA,NA,1,2
61,"PCA-LDA",29,0,NA,NA,1,2
62,"CCA-LDA",38,0,NA,NA,1,2
62,"PCA-LDA",36,0,NA,NA,1,2
63,"CCA-LDA",14,0,NA,NA,1,2
63,"PCA-LDA",34,0,NA,NA,1,2
64,"CCA-LDA",19,0,NA,NA,1,2
64,"PCA-LDA",36,0,NA,NA,1,2
65,"CCA-LDA",18,0,NA,NA,1,2
65,"PCA-LDA",25,0,NA,NA,1,2
66,"CCA-LDA",16,1,NA,NA,1,2
66,"PCA-LDA",31,0,NA,NA,1,2
67,"CCA-LDA",15,2,NA,NA,1,2
67,"PCA-LDA",32,0,NA,NA,1,2
68,"CCA-LDA",36,0,NA,NA,1,2
68,"PCA-LDA",31,0,NA,NA,1,2
69,"CCA-LDA",27,0,NA,NA,1,2
69,"PCA-LDA",31,0,NA,NA,1,2
7,"CCA-LDA",20,1,NA,NA,1,2
7,"PCA-LDA",36,1,NA,NA,1,2
70,"CCA-LDA",13,1,NA,NA,1,2
70,"PCA-LDA",32,0,NA,NA,1,2
71,"CCA-LDA",16,0,NA,NA,1,2
71,"PCA-LDA",31,0,NA,NA,1,2
72,"CCA-LDA",36,0,NA,NA,1,2
72,"PCA-LDA",31,0,NA,NA,1,2
73,"CCA-LDA",29,0,NA,NA,1,2
73,"PCA-LDA",33,0,NA,NA,1,2
74,"CCA-LDA",32,1,NA,NA,1,2
74,"PCA-LDA",31,1,NA,NA,1,2
75,"CCA-LDA",36,0,NA,NA,1,2
75,"PCA-LDA",29,0,NA,NA,1,2
76,"CCA-LDA",29,0,NA,NA,1,2
76,"PCA-LDA",24,0,NA,NA,1,2
77,"CCA-LDA",19,1,NA,NA,1,2
77,"PCA-LDA",35,0,NA,NA,1,2
78,"CCA-LDA",32,0,NA,NA,1,2
78,"PCA-LDA",34,0,NA,NA,1,2
79,"CCA-LDA",27,0,NA,NA,1,2
79,"PCA-LDA",35,0,NA,NA,1,2
8,"CCA-LDA",18,1,NA,NA,1,2
8,"PCA-LDA",35,0,NA,NA,1,2
80,"CCA-LDA",18,0,NA,NA,1,2
80,"PCA-LDA",35,0,NA,NA,1,2
81,"CCA-LDA",13,1,NA,NA,1,2
81,"PCA-LDA",34,0,NA,NA,1,2
82,"CCA-LDA",19,0,NA,NA,1,2
82,"PCA-LDA",36,0,NA,NA,1,2
83,"CCA-LDA",15,0,NA,NA,1,2
83,"PCA-LDA",35,0,NA,NA,1,2
84,"CCA-LDA",32,0,NA,NA,1,2
84,"PCA-LDA",37,0,NA,NA,1,2
85,"CCA-LDA",32,1,NA,NA,1,2
85,"PCA-LDA",35,0,NA,NA,1,2
86,"CCA-LDA",29,0,NA,NA,1,2
86,"PCA-LDA",31,0,NA,NA,1,2
87,"CCA-LDA",36,0,NA,NA,1,2
87,"PCA-LDA",29,1,NA,NA,1,2
88,"CCA-LDA",27,1,NA,NA,1,2
88,"PCA-LDA",29,0,NA,NA,1,2
89,"CCA-LDA",25,0,NA,NA,1,2
89,"PCA-LDA",30,0,NA,NA,1,2
9,"CCA-LDA",15,0,NA,NA,1,2
9,"PCA-LDA",28,0,NA,NA,1,2
90,"CCA-LDA",16,1,NA,NA,1,2
90,"PCA-LDA",35,0,NA,NA,1,2
91,"CCA-LDA",33,0,NA,NA,1,2
91,"PCA-LDA",35,0,NA,NA,1,2
92,"CCA-LDA",36,0,NA,NA,1,2
92,"PCA-LDA",39,0,NA,NA,1,2
93,"CCA-LDA",15,0,NA,NA,1,2
93,"PCA-LDA",26,1,NA,NA,1,2
94,"CCA-LDA",31,0,NA,NA,1,2
94,"PCA-LDA",30,0,NA,NA,1,2
95,"CCA-LDA",20,0,NA,NA,1,2
95,"PCA-LDA",24,0,NA,NA,1,2
96,"CCA-LDA",32,0,NA,NA,1,2
96,"PCA-LDA",24,0,NA,NA,1,2
97,"CCA-LDA",33,0,NA,NA,1,2
97,"PCA-LDA",27,0,NA,NA,1,2
98,"CCA-LDA",33,0,NA,NA,1,2
98,"PCA-LDA",31,0,NA,NA,1,2
99,"CCA-LDA",31,0,NA,NA,1,2
99,"PCA-LDA",34,1,NA,NA,1,2
1,"CCA-LDA",NA,3,6,25,2,1
1,"PCA-LDA",NA,7,14,24,2,1
2,"CCA-LDA",NA,5,10,31,2,1
2,"PCA-LDA",NA,8,16,21,2,1
3,"CCA-LDA",NA,9,11,32,2,1
3,"PCA-LDA",NA,10,18,23,2,1
4,"CCA-LDA",NA,8,12,28,2,1
4,"PCA-LDA",NA,8,19,22,2,1
5,"CCA-LDA",NA,9,13,26,2,1
5,"PCA-LDA",NA,10,17,22,2,1
6,"CCA-LDA",NA,9,13,33,2,1
6,"PCA-LDA",NA,8,12,17,2,1
7,"CCA-LDA",NA,11,14,31,2,1
7,"PCA-LDA",NA,13,16,22,2,1
8,"CCA-LDA",NA,6,11,28,2,1
8,"PCA-LDA",NA,12,18,24,2,1
9,"CCA-LDA",NA,7,9,30,2,1
9,"PCA-LDA",NA,3,15,22,2,1
10,"CCA-LDA",NA,8,17,29,2,1
10,"PCA-LDA",NA,7,17,20,2,1
11,"CCA-LDA",NA,7,10,27,2,1
11,"PCA-LDA",NA,9,18,24,2,1
12,"CCA-LDA",NA,7,9,26,2,1
12,"PCA-LDA",NA,9,14,24,2,1
13,"CCA-LDA",NA,9,13,27,2,1
13,"PCA-LDA",NA,8,15,21,2,1
14,"CCA-LDA",NA,4,13,26,2,1
14,"PCA-LDA",NA,5,11,17,2,1
15,"CCA-LDA",NA,8,14,27,2,1
15,"PCA-LDA",NA,10,16,22,2,1
16,"CCA-LDA",NA,13,14,32,2,1
16,"PCA-LDA",NA,3,13,17,2,1
17,"CCA-LDA",NA,5,9,29,2,1
17,"PCA-LDA",NA,8,14,19,2,1
18,"CCA-LDA",NA,6,11,27,2,1
18,"PCA-LDA",NA,7,15,18,2,1
19,"CCA-LDA",NA,7,15,28,2,1
19,"PCA-LDA",NA,5,13,19,2,1
20,"CCA-LDA",NA,7,13,25,2,1
20,"PCA-LDA",NA,7,12,17,2,1
21,"CCA-LDA",NA,6,9,25,2,1
21,"PCA-LDA",NA,7,15,20,2,1
22,"CCA-LDA",NA,11,12,27,2,1
22,"PCA-LDA",NA,9,17,23,2,1
23,"CCA-LDA",NA,6,11,27,2,1
23,"PCA-LDA",NA,8,17,22,2,1
24,"CCA-LDA",NA,9,13,28,2,1
24,"PCA-LDA",NA,7,17,26,2,1
25,"CCA-LDA",NA,12,12,29,2,1
25,"PCA-LDA",NA,8,20,22,2,1
26,"CCA-LDA",NA,8,12,27,2,1
26,"PCA-LDA",NA,6,7,17,2,1
27,"CCA-LDA",NA,9,11,30,2,1
27,"PCA-LDA",NA,10,15,21,2,1
28,"CCA-LDA",NA,4,14,31,2,1
28,"PCA-LDA",NA,6,17,21,2,1
29,"CCA-LDA",NA,9,8,26,2,1
29,"PCA-LDA",NA,9,16,25,2,1
30,"CCA-LDA",NA,6,10,25,2,1
30,"PCA-LDA",NA,6,14,21,2,1
31,"CCA-LDA",NA,12,14,30,2,1
31,"PCA-LDA",NA,11,14,19,2,1
32,"CCA-LDA",NA,4,5,23,2,1
32,"PCA-LDA",NA,6,9,22,2,1
33,"CCA-LDA",NA,7,8,22,2,1
33,"PCA-LDA",NA,6,15,18,2,1
34,"CCA-LDA",NA,8,14,28,2,1
34,"PCA-LDA",NA,7,18,23,2,1
35,"CCA-LDA",NA,11,8,34,2,1
35,"PCA-LDA",NA,9,12,21,2,1
36,"CCA-LDA",NA,7,8,27,2,1
36,"PCA-LDA",NA,8,13,21,2,1
37,"CCA-LDA",NA,6,11,30,2,1
37,"PCA-LDA",NA,6,13,15,2,1
38,"CCA-LDA",NA,9,13,32,2,1
38,"PCA-LDA",NA,6,16,21,2,1
39,"CCA-LDA",NA,8,9,28,2,1
39,"PCA-LDA",NA,7,15,18,2,1
40,"CCA-LDA",NA,11,13,28,2,1
40,"PCA-LDA",NA,9,15,22,2,1
41,"CCA-LDA",NA,4,13,25,2,1
41,"PCA-LDA",NA,4,11,19,2,1
42,"CCA-LDA",NA,8,9,30,2,1
42,"PCA-LDA",NA,4,4,11,2,1
43,"CCA-LDA",NA,7,13,30,2,1
43,"PCA-LDA",NA,10,13,23,2,1
44,"CCA-LDA",NA,5,12,28,2,1
44,"PCA-LDA",NA,10,15,21,2,1
45,"CCA-LDA",NA,8,9,26,2,1
45,"PCA-LDA",NA,10,18,20,2,1
46,"CCA-LDA",NA,2,12,27,2,1
46,"PCA-LDA",NA,7,12,18,2,1
47,"CCA-LDA",NA,4,14,26,2,1
47,"PCA-LDA",NA,6,13,22,2,1
48,"CCA-LDA",NA,11,14,28,2,1
48,"PCA-LDA",NA,7,14,20,2,1
49,"CCA-LDA",NA,12,7,28,2,1
49,"PCA-LDA",NA,2,11,12,2,1
50,"CCA-LDA",NA,13,16,35,2,1
50,"PCA-LDA",NA,9,18,21,2,1
51,"CCA-LDA",NA,6,8,26,2,1
51,"PCA-LDA",NA,9,17,22,2,1
52,"CCA-LDA",NA,5,9,27,2,1
52,"PCA-LDA",NA,9,16,24,2,1
53,"CCA-LDA",NA,9,10,27,2,1
53,"PCA-LDA",NA,3,13,20,2,1
54,"CCA-LDA",NA,9,10,30,2,1
54,"PCA-LDA",NA,9,14,21,2,1
55,"CCA-LDA",NA,9,5,29,2,1
55,"PCA-LDA",NA,7,16,22,2,1
56,"CCA-LDA",NA,3,13,31,2,1
56,"PCA-LDA",NA,7,17,21,2,1
57,"CCA-LDA",NA,10,14,26,2,1
57,"PCA-LDA",NA,6,13,18,2,1
58,"CCA-LDA",NA,12,12,35,2,1
58,"PCA-LDA",NA,9,11,19,2,1
59,"CCA-LDA",NA,11,13,31,2,1
59,"PCA-LDA",NA,10,14,22,2,1
60,"CCA-LDA",NA,12,19,31,2,1
60,"PCA-LDA",NA,7,20,25,2,1
61,"CCA-LDA",NA,6,12,28,2,1
61,"PCA-LDA",NA,6,15,22,2,1
62,"CCA-LDA",NA,5,9,32,2,1
62,"PCA-LDA",NA,5,8,17,2,1
63,"CCA-LDA",NA,8,12,29,2,1
63,"PCA-LDA",NA,9,14,22,2,1
64,"CCA-LDA",NA,10,12,29,2,1
64,"PCA-LDA",NA,7,12,19,2,1
65,"CCA-LDA",NA,13,16,30,2,1
65,"PCA-LDA",NA,14,16,23,2,1
66,"CCA-LDA",NA,4,12,25,2,1
66,"PCA-LDA",NA,6,17,20,2,1
67,"CCA-LDA",NA,9,16,30,2,1
67,"PCA-LDA",NA,12,11,24,2,1
68,"CCA-LDA",NA,6,10,24,2,1
68,"PCA-LDA",NA,10,14,22,2,1
69,"CCA-LDA",NA,14,19,33,2,1
69,"PCA-LDA",NA,9,15,21,2,1
70,"CCA-LDA",NA,7,8,25,2,1
70,"PCA-LDA",NA,8,17,21,2,1
71,"CCA-LDA",NA,11,14,29,2,1
71,"PCA-LDA",NA,7,11,17,2,1
72,"CCA-LDA",NA,7,9,31,2,1
72,"PCA-LDA",NA,6,16,24,2,1
73,"CCA-LDA",NA,9,12,29,2,1
73,"PCA-LDA",NA,6,15,23,2,1
74,"CCA-LDA",NA,13,9,25,2,1
74,"PCA-LDA",NA,9,15,23,2,1
75,"CCA-LDA",NA,8,9,27,2,1
75,"PCA-LDA",NA,9,15,22,2,1
76,"CCA-LDA",NA,9,10,25,2,1
76,"PCA-LDA",NA,8,14,19,2,1
77,"CCA-LDA",NA,6,7,31,2,1
77,"PCA-LDA",NA,7,17,24,2,1
78,"CCA-LDA",NA,8,15,28,2,1
78,"PCA-LDA",NA,7,13,21,2,1
79,"CCA-LDA",NA,10,14,29,2,1
79,"PCA-LDA",NA,4,12,21,2,1
80,"CCA-LDA",NA,11,13,29,2,1
80,"PCA-LDA",NA,4,12,22,2,1
81,"CCA-LDA",NA,8,11,27,2,1
81,"PCA-LDA",NA,9,16,23,2,1
82,"CCA-LDA",NA,10,17,32,2,1
82,"PCA-LDA",NA,11,17,23,2,1
83,"CCA-LDA",NA,7,16,28,2,1
83,"PCA-LDA",NA,6,15,18,2,1
84,"CCA-LDA",NA,8,15,25,2,1
84,"PCA-LDA",NA,9,19,23,2,1
85,"CCA-LDA",NA,7,12,25,2,1
85,"PCA-LDA",NA,5,15,21,2,1
86,"CCA-LDA",NA,6,12,26,2,1
86,"PCA-LDA",NA,9,16,24,2,1
87,"CCA-LDA",NA,1,8,21,2,1
87,"PCA-LDA",NA,4,5,18,2,1
88,"CCA-LDA",NA,8,14,30,2,1
88,"PCA-LDA",NA,9,17,21,2,1
89,"CCA-LDA",NA,8,15,32,2,1
89,"PCA-LDA",NA,12,16,22,2,1
90,"CCA-LDA",NA,9,11,32,2,1
90,"PCA-LDA",NA,14,18,24,2,1
91,"CCA-LDA",NA,8,17,28,2,1
91,"PCA-LDA",NA,10,20,27,2,1
92,"CCA-LDA",NA,7,9,23,2,1
92,"PCA-LDA",NA,13,18,20,2,1
93,"CCA-LDA",NA,12,12,27,2,1
93,"PCA-LDA",NA,8,10,19,2,1
94,"CCA-LDA",NA,8,13,29,2,1
94,"PCA-LDA",NA,7,15,21,2,1
95,"CCA-LDA",NA,11,13,29,2,1
95,"PCA-LDA",NA,5,13,17,2,1
96,"CCA-LDA",NA,10,10,27,2,1
96,"PCA-LDA",NA,11,18,24,2,1
97,"CCA-LDA",NA,4,10,33,2,1
97,"PCA-LDA",NA,6,17,21,2,1
98,"CCA-LDA",NA,10,14,27,2,1
98,"PCA-LDA",NA,9,16,24,2,1
99,"CCA-LDA",NA,3,9,23,2,1
99,"PCA-LDA",NA,9,9,13,2,1
100,"CCA-LDA",NA,6,14,30,2,1
100,"PCA-LDA",NA,11,16,18,2,1
101,"CCA-LDA",NA,8,13,29,2,1
101,"PCA-LDA",NA,11,12,23,2,1
