"obs","n.dims","clas.assigned","clas.true"
1,2,TRUE,TRUE
2,2,TRUE,TRUE
3,2,FALSE,TRUE
4,2,TRUE,TRUE
5,2,FALSE,TRUE
6,2,TRUE,TRUE
7,2,TRUE,TRUE
8,2,FALSE,TRUE
9,2,TRUE,TRUE
10,2,TRUE,TRUE
11,2,TRUE,TRUE
12,2,FALSE,TRUE
13,2,FALSE,TRUE
14,2,TRUE,TRUE
15,2,TRUE,TRUE
16,2,TRUE,TRUE
17,2,FALSE,FALSE
18,2,TRUE,FALSE
19,2,FALSE,FALSE
20,2,TRUE,FALSE
21,2,FALSE,FALSE
22,2,TRUE,FALSE
23,2,TRUE,FALSE
24,2,TRUE,FALSE
25,2,FALSE,FALSE
26,2,FALSE,FALSE
27,2,FALSE,FALSE
28,2,TRUE,FALSE
29,2,FALSE,FALSE
30,2,TRUE,FALSE
31,2,FALSE,FALSE
32,2,FALSE,FALSE
33,2,TRUE,FALSE
34,2,TRUE,FALSE
35,2,FALSE,FALSE
36,2,TRUE,FALSE
37,2,FALSE,FALSE
38,2,FALSE,FALSE
39,2,FALSE,FALSE
40,2,TRUE,FALSE
41,2,TRUE,FALSE
42,2,FALSE,FALSE
43,2,FALSE,FALSE
1,3,TRUE,TRUE
2,3,TRUE,TRUE
3,3,TRUE,TRUE
4,3,TRUE,TRUE
5,3,FALSE,TRUE
6,3,TRUE,TRUE
7,3,TRUE,TRUE
8,3,FALSE,TRUE
9,3,TRUE,TRUE
10,3,TRUE,TRUE
11,3,TRUE,TRUE
12,3,TRUE,TRUE
13,3,FALSE,TRUE
14,3,FALSE,TRUE
15,3,TRUE,TRUE
16,3,FALSE,TRUE
17,3,FALSE,FALSE
18,3,TRUE,FALSE
19,3,FALSE,FALSE
20,3,FALSE,FALSE
21,3,FALSE,FALSE
22,3,TRUE,FALSE
23,3,FALSE,FALSE
24,3,TRUE,FALSE
25,3,FALSE,FALSE
26,3,FALSE,FALSE
27,3,FALSE,FALSE
28,3,FALSE,FALSE
29,3,FALSE,FALSE
30,3,TRUE,FALSE
31,3,FALSE,FALSE
32,3,FALSE,FALSE
33,3,TRUE,FALSE
34,3,TRUE,FALSE
35,3,FALSE,FALSE
36,3,TRUE,FALSE
37,3,FALSE,FALSE
38,3,FALSE,FALSE
39,3,FALSE,FALSE
40,3,FALSE,FALSE
41,3,TRUE,FALSE
42,3,FALSE,FALSE
43,3,FALSE,FALSE
1,4,TRUE,TRUE
2,4,TRUE,TRUE
3,4,TRUE,TRUE
4,4,TRUE,TRUE
5,4,FALSE,TRUE
6,4,TRUE,TRUE
7,4,TRUE,TRUE
8,4,TRUE,TRUE
9,4,TRUE,TRUE
10,4,TRUE,TRUE
11,4,TRUE,TRUE
12,4,TRUE,TRUE
13,4,FALSE,TRUE
14,4,FALSE,TRUE
15,4,TRUE,TRUE
16,4,FALSE,TRUE
17,4,FALSE,FALSE
18,4,TRUE,FALSE
19,4,FALSE,FALSE
20,4,FALSE,FALSE
21,4,FALSE,FALSE
22,4,TRUE,FALSE
23,4,FALSE,FALSE
24,4,TRUE,FALSE
25,4,FALSE,FALSE
26,4,FALSE,FALSE
27,4,FALSE,FALSE
28,4,FALSE,FALSE
29,4,FALSE,FALSE
30,4,TRUE,FALSE
31,4,FALSE,FALSE
32,4,FALSE,FALSE
33,4,TRUE,FALSE
34,4,TRUE,FALSE
35,4,FALSE,FALSE
36,4,TRUE,FALSE
37,4,FALSE,FALSE
38,4,FALSE,FALSE
39,4,FALSE,FALSE
40,4,FALSE,FALSE
41,4,TRUE,FALSE
42,4,TRUE,FALSE
43,4,FALSE,FALSE
1,5,TRUE,TRUE
2,5,TRUE,TRUE
3,5,TRUE,TRUE
4,5,TRUE,TRUE
5,5,FALSE,TRUE
6,5,TRUE,TRUE
7,5,TRUE,TRUE
8,5,TRUE,TRUE
9,5,TRUE,TRUE
10,5,TRUE,TRUE
11,5,TRUE,TRUE
12,5,TRUE,TRUE
13,5,FALSE,TRUE
14,5,FALSE,TRUE
15,5,FALSE,TRUE
16,5,TRUE,TRUE
17,5,FALSE,FALSE
18,5,TRUE,FALSE
19,5,FALSE,FALSE
20,5,FALSE,FALSE
21,5,FALSE,FALSE
22,5,TRUE,FALSE
23,5,FALSE,FALSE
24,5,TRUE,FALSE
25,5,FALSE,FALSE
26,5,FALSE,FALSE
27,5,FALSE,FALSE
28,5,FALSE,FALSE
29,5,FALSE,FALSE
30,5,TRUE,FALSE
31,5,FALSE,FALSE
32,5,FALSE,FALSE
33,5,TRUE,FALSE
34,5,TRUE,FALSE
35,5,FALSE,FALSE
36,5,TRUE,FALSE
37,5,FALSE,FALSE
38,5,FALSE,FALSE
39,5,FALSE,FALSE
40,5,FALSE,FALSE
41,5,TRUE,FALSE
42,5,FALSE,FALSE
43,5,FALSE,FALSE
1,6,TRUE,TRUE
2,6,TRUE,TRUE
3,6,TRUE,TRUE
4,6,FALSE,TRUE
5,6,FALSE,TRUE
6,6,TRUE,TRUE
7,6,TRUE,TRUE
8,6,TRUE,TRUE
9,6,TRUE,TRUE
10,6,TRUE,TRUE
11,6,TRUE,TRUE
12,6,TRUE,TRUE
13,6,FALSE,TRUE
14,6,FALSE,TRUE
15,6,TRUE,TRUE
16,6,TRUE,TRUE
17,6,FALSE,FALSE
18,6,TRUE,FALSE
19,6,FALSE,FALSE
20,6,FALSE,FALSE
21,6,FALSE,FALSE
22,6,FALSE,FALSE
23,6,FALSE,FALSE
24,6,FALSE,FALSE
25,6,FALSE,FALSE
26,6,FALSE,FALSE
27,6,FALSE,FALSE
28,6,TRUE,FALSE
29,6,FALSE,FALSE
30,6,FALSE,FALSE
31,6,FALSE,FALSE
32,6,FALSE,FALSE
33,6,TRUE,FALSE
34,6,FALSE,FALSE
35,6,FALSE,FALSE
36,6,FALSE,FALSE
37,6,FALSE,FALSE
38,6,FALSE,FALSE
39,6,TRUE,FALSE
40,6,TRUE,FALSE
41,6,TRUE,FALSE
42,6,FALSE,FALSE
43,6,FALSE,FALSE
1,7,TRUE,TRUE
2,7,TRUE,TRUE
3,7,TRUE,TRUE
4,7,FALSE,TRUE
5,7,FALSE,TRUE
6,7,TRUE,TRUE
7,7,TRUE,TRUE
8,7,TRUE,TRUE
9,7,TRUE,TRUE
10,7,TRUE,TRUE
11,7,TRUE,TRUE
12,7,TRUE,TRUE
13,7,FALSE,TRUE
14,7,FALSE,TRUE
15,7,TRUE,TRUE
16,7,FALSE,TRUE
17,7,FALSE,FALSE
18,7,TRUE,FALSE
19,7,FALSE,FALSE
20,7,FALSE,FALSE
21,7,FALSE,FALSE
22,7,FALSE,FALSE
23,7,FALSE,FALSE
24,7,FALSE,FALSE
25,7,FALSE,FALSE
26,7,FALSE,FALSE
27,7,FALSE,FALSE
28,7,TRUE,FALSE
29,7,FALSE,FALSE
30,7,FALSE,FALSE
31,7,FALSE,FALSE
32,7,FALSE,FALSE
33,7,TRUE,FALSE
34,7,FALSE,FALSE
35,7,FALSE,FALSE
36,7,FALSE,FALSE
37,7,FALSE,FALSE
38,7,FALSE,FALSE
39,7,TRUE,FALSE
40,7,TRUE,FALSE
41,7,TRUE,FALSE
42,7,FALSE,FALSE
43,7,FALSE,FALSE
1,8,TRUE,TRUE
2,8,TRUE,TRUE
3,8,TRUE,TRUE
4,8,TRUE,TRUE
5,8,FALSE,TRUE
6,8,TRUE,TRUE
7,8,TRUE,TRUE
8,8,TRUE,TRUE
9,8,TRUE,TRUE
10,8,TRUE,TRUE
11,8,TRUE,TRUE
12,8,TRUE,TRUE
13,8,FALSE,TRUE
14,8,FALSE,TRUE
15,8,TRUE,TRUE
16,8,TRUE,TRUE
17,8,FALSE,FALSE
18,8,TRUE,FALSE
19,8,FALSE,FALSE
20,8,FALSE,FALSE
21,8,FALSE,FALSE
22,8,TRUE,FALSE
23,8,FALSE,FALSE
24,8,FALSE,FALSE
25,8,FALSE,FALSE
26,8,FALSE,FALSE
27,8,TRUE,FALSE
28,8,FALSE,FALSE
29,8,FALSE,FALSE
30,8,FALSE,FALSE
31,8,FALSE,FALSE
32,8,FALSE,FALSE
33,8,FALSE,FALSE
34,8,FALSE,FALSE
35,8,FALSE,FALSE
36,8,FALSE,FALSE
37,8,FALSE,FALSE
38,8,FALSE,FALSE
39,8,TRUE,FALSE
40,8,FALSE,FALSE
41,8,FALSE,FALSE
42,8,FALSE,FALSE
43,8,FALSE,FALSE
1,9,TRUE,TRUE
2,9,TRUE,TRUE
3,9,TRUE,TRUE
4,9,TRUE,TRUE
5,9,FALSE,TRUE
6,9,TRUE,TRUE
7,9,TRUE,TRUE
8,9,TRUE,TRUE
9,9,TRUE,TRUE
10,9,TRUE,TRUE
11,9,TRUE,TRUE
12,9,TRUE,TRUE
13,9,FALSE,TRUE
14,9,FALSE,TRUE
15,9,TRUE,TRUE
16,9,TRUE,TRUE
17,9,FALSE,FALSE
18,9,TRUE,FALSE
19,9,FALSE,FALSE
20,9,FALSE,FALSE
21,9,FALSE,FALSE
22,9,FALSE,FALSE
23,9,TRUE,FALSE
24,9,FALSE,FALSE
25,9,FALSE,FALSE
26,9,FALSE,FALSE
27,9,TRUE,FALSE
28,9,FALSE,FALSE
29,9,FALSE,FALSE
30,9,FALSE,FALSE
31,9,FALSE,FALSE
32,9,FALSE,FALSE
33,9,FALSE,FALSE
34,9,FALSE,FALSE
35,9,FALSE,FALSE
36,9,FALSE,FALSE
37,9,FALSE,FALSE
38,9,FALSE,FALSE
39,9,TRUE,FALSE
40,9,FALSE,FALSE
41,9,FALSE,FALSE
42,9,FALSE,FALSE
43,9,FALSE,FALSE
1,10,TRUE,TRUE
2,10,TRUE,TRUE
3,10,TRUE,TRUE
4,10,TRUE,TRUE
5,10,FALSE,TRUE
6,10,TRUE,TRUE
7,10,TRUE,TRUE
8,10,TRUE,TRUE
9,10,TRUE,TRUE
10,10,TRUE,TRUE
11,10,TRUE,TRUE
12,10,TRUE,TRUE
13,10,FALSE,TRUE
14,10,FALSE,TRUE
15,10,TRUE,TRUE
16,10,TRUE,TRUE
17,10,FALSE,FALSE
18,10,TRUE,FALSE
19,10,FALSE,FALSE
20,10,FALSE,FALSE
21,10,FALSE,FALSE
22,10,FALSE,FALSE
23,10,TRUE,FALSE
24,10,FALSE,FALSE
25,10,FALSE,FALSE
26,10,FALSE,FALSE
27,10,TRUE,FALSE
28,10,FALSE,FALSE
29,10,FALSE,FALSE
30,10,FALSE,FALSE
31,10,FALSE,FALSE
32,10,FALSE,FALSE
33,10,FALSE,FALSE
34,10,FALSE,FALSE
35,10,FALSE,FALSE
36,10,FALSE,FALSE
37,10,FALSE,FALSE
38,10,FALSE,FALSE
39,10,TRUE,FALSE
40,10,FALSE,FALSE
41,10,FALSE,FALSE
42,10,FALSE,FALSE
43,10,FALSE,FALSE
1,11,TRUE,TRUE
2,11,TRUE,TRUE
3,11,FALSE,TRUE
4,11,TRUE,TRUE
5,11,TRUE,TRUE
6,11,TRUE,TRUE
7,11,TRUE,TRUE
8,11,TRUE,TRUE
9,11,TRUE,TRUE
10,11,TRUE,TRUE
11,11,TRUE,TRUE
12,11,TRUE,TRUE
13,11,TRUE,TRUE
14,11,TRUE,TRUE
15,11,FALSE,TRUE
16,11,TRUE,TRUE
17,11,FALSE,FALSE
18,11,TRUE,FALSE
19,11,FALSE,FALSE
20,11,FALSE,FALSE
21,11,FALSE,FALSE
22,11,FALSE,FALSE
23,11,FALSE,FALSE
24,11,FALSE,FALSE
25,11,FALSE,FALSE
26,11,FALSE,FALSE
27,11,FALSE,FALSE
28,11,FALSE,FALSE
29,11,FALSE,FALSE
30,11,FALSE,FALSE
31,11,FALSE,FALSE
32,11,FALSE,FALSE
33,11,FALSE,FALSE
34,11,FALSE,FALSE
35,11,FALSE,FALSE
36,11,FALSE,FALSE
37,11,FALSE,FALSE
38,11,FALSE,FALSE
39,11,FALSE,FALSE
40,11,FALSE,FALSE
41,11,FALSE,FALSE
42,11,FALSE,FALSE
43,11,FALSE,FALSE
1,12,TRUE,TRUE
2,12,TRUE,TRUE
3,12,TRUE,TRUE
4,12,TRUE,TRUE
5,12,TRUE,TRUE
6,12,TRUE,TRUE
7,12,TRUE,TRUE
8,12,TRUE,TRUE
9,12,TRUE,TRUE
10,12,TRUE,TRUE
11,12,TRUE,TRUE
12,12,TRUE,TRUE
13,12,TRUE,TRUE
14,12,TRUE,TRUE
15,12,TRUE,TRUE
16,12,TRUE,TRUE
17,12,FALSE,FALSE
18,12,TRUE,FALSE
19,12,FALSE,FALSE
20,12,FALSE,FALSE
21,12,FALSE,FALSE
22,12,FALSE,FALSE
23,12,FALSE,FALSE
24,12,FALSE,FALSE
25,12,FALSE,FALSE
26,12,FALSE,FALSE
27,12,FALSE,FALSE
28,12,FALSE,FALSE
29,12,FALSE,FALSE
30,12,FALSE,FALSE
31,12,FALSE,FALSE
32,12,FALSE,FALSE
33,12,FALSE,FALSE
34,12,FALSE,FALSE
35,12,FALSE,FALSE
36,12,FALSE,FALSE
37,12,FALSE,FALSE
38,12,FALSE,FALSE
39,12,FALSE,FALSE
40,12,FALSE,FALSE
41,12,FALSE,FALSE
42,12,FALSE,FALSE
43,12,FALSE,FALSE
1,13,TRUE,TRUE
2,13,TRUE,TRUE
3,13,TRUE,TRUE
4,13,TRUE,TRUE
5,13,TRUE,TRUE
6,13,TRUE,TRUE
7,13,TRUE,TRUE
8,13,TRUE,TRUE
9,13,TRUE,TRUE
10,13,TRUE,TRUE
11,13,TRUE,TRUE
12,13,TRUE,TRUE
13,13,TRUE,TRUE
14,13,TRUE,TRUE
15,13,TRUE,TRUE
16,13,TRUE,TRUE
17,13,FALSE,FALSE
18,13,TRUE,FALSE
19,13,FALSE,FALSE
20,13,FALSE,FALSE
21,13,FALSE,FALSE
22,13,FALSE,FALSE
23,13,FALSE,FALSE
24,13,FALSE,FALSE
25,13,FALSE,FALSE
26,13,FALSE,FALSE
27,13,FALSE,FALSE
28,13,FALSE,FALSE
29,13,FALSE,FALSE
30,13,FALSE,FALSE
31,13,FALSE,FALSE
32,13,FALSE,FALSE
33,13,FALSE,FALSE
34,13,FALSE,FALSE
35,13,FALSE,FALSE
36,13,FALSE,FALSE
37,13,FALSE,FALSE
38,13,FALSE,FALSE
39,13,FALSE,FALSE
40,13,FALSE,FALSE
41,13,FALSE,FALSE
42,13,FALSE,FALSE
43,13,FALSE,FALSE
1,14,TRUE,TRUE
2,14,TRUE,TRUE
3,14,TRUE,TRUE
4,14,TRUE,TRUE
5,14,TRUE,TRUE
6,14,TRUE,TRUE
7,14,TRUE,TRUE
8,14,TRUE,TRUE
9,14,TRUE,TRUE
10,14,TRUE,TRUE
11,14,TRUE,TRUE
12,14,TRUE,TRUE
13,14,TRUE,TRUE
14,14,FALSE,TRUE
15,14,FALSE,TRUE
16,14,TRUE,TRUE
17,14,FALSE,FALSE
18,14,TRUE,FALSE
19,14,FALSE,FALSE
20,14,FALSE,FALSE
21,14,FALSE,FALSE
22,14,FALSE,FALSE
23,14,FALSE,FALSE
24,14,FALSE,FALSE
25,14,FALSE,FALSE
26,14,FALSE,FALSE
27,14,FALSE,FALSE
28,14,FALSE,FALSE
29,14,FALSE,FALSE
30,14,FALSE,FALSE
31,14,FALSE,FALSE
32,14,FALSE,FALSE
33,14,FALSE,FALSE
34,14,FALSE,FALSE
35,14,FALSE,FALSE
36,14,FALSE,FALSE
37,14,FALSE,FALSE
38,14,FALSE,FALSE
39,14,FALSE,FALSE
40,14,FALSE,FALSE
41,14,FALSE,FALSE
42,14,FALSE,FALSE
43,14,FALSE,FALSE
1,15,TRUE,TRUE
2,15,TRUE,TRUE
3,15,TRUE,TRUE
4,15,TRUE,TRUE
5,15,TRUE,TRUE
6,15,TRUE,TRUE
7,15,TRUE,TRUE
8,15,TRUE,TRUE
9,15,TRUE,TRUE
10,15,TRUE,TRUE
11,15,TRUE,TRUE
12,15,TRUE,TRUE
13,15,TRUE,TRUE
14,15,TRUE,TRUE
15,15,TRUE,TRUE
16,15,TRUE,TRUE
17,15,FALSE,FALSE
18,15,TRUE,FALSE
19,15,FALSE,FALSE
20,15,FALSE,FALSE
21,15,FALSE,FALSE
22,15,FALSE,FALSE
23,15,FALSE,FALSE
24,15,FALSE,FALSE
25,15,FALSE,FALSE
26,15,FALSE,FALSE
27,15,FALSE,FALSE
28,15,FALSE,FALSE
29,15,FALSE,FALSE
30,15,FALSE,FALSE
31,15,FALSE,FALSE
32,15,FALSE,FALSE
33,15,FALSE,FALSE
34,15,FALSE,FALSE
35,15,FALSE,FALSE
36,15,FALSE,FALSE
37,15,FALSE,FALSE
38,15,FALSE,FALSE
39,15,FALSE,FALSE
40,15,FALSE,FALSE
41,15,FALSE,FALSE
42,15,FALSE,FALSE
43,15,FALSE,FALSE
1,16,TRUE,TRUE
2,16,TRUE,TRUE
3,16,TRUE,TRUE
4,16,TRUE,TRUE
5,16,TRUE,TRUE
6,16,TRUE,TRUE
7,16,TRUE,TRUE
8,16,TRUE,TRUE
9,16,TRUE,TRUE
10,16,TRUE,TRUE
11,16,TRUE,TRUE
12,16,TRUE,TRUE
13,16,TRUE,TRUE
14,16,TRUE,TRUE
15,16,TRUE,TRUE
16,16,TRUE,TRUE
17,16,FALSE,FALSE
18,16,TRUE,FALSE
19,16,FALSE,FALSE
20,16,FALSE,FALSE
21,16,FALSE,FALSE
22,16,FALSE,FALSE
23,16,FALSE,FALSE
24,16,FALSE,FALSE
25,16,FALSE,FALSE
26,16,FALSE,FALSE
27,16,FALSE,FALSE
28,16,FALSE,FALSE
29,16,FALSE,FALSE
30,16,FALSE,FALSE
31,16,FALSE,FALSE
32,16,FALSE,FALSE
33,16,FALSE,FALSE
34,16,FALSE,FALSE
35,16,FALSE,FALSE
36,16,FALSE,FALSE
37,16,FALSE,FALSE
38,16,FALSE,FALSE
39,16,FALSE,FALSE
40,16,FALSE,FALSE
41,16,FALSE,FALSE
42,16,FALSE,FALSE
43,16,FALSE,FALSE
1,17,TRUE,TRUE
2,17,TRUE,TRUE
3,17,TRUE,TRUE
4,17,TRUE,TRUE
5,17,TRUE,TRUE
6,17,TRUE,TRUE
7,17,TRUE,TRUE
8,17,TRUE,TRUE
9,17,TRUE,TRUE
10,17,TRUE,TRUE
11,17,TRUE,TRUE
12,17,TRUE,TRUE
13,17,TRUE,TRUE
14,17,TRUE,TRUE
15,17,TRUE,TRUE
16,17,TRUE,TRUE
17,17,FALSE,FALSE
18,17,FALSE,FALSE
19,17,FALSE,FALSE
20,17,FALSE,FALSE
21,17,FALSE,FALSE
22,17,FALSE,FALSE
23,17,FALSE,FALSE
24,17,FALSE,FALSE
25,17,FALSE,FALSE
26,17,FALSE,FALSE
27,17,FALSE,FALSE
28,17,FALSE,FALSE
29,17,FALSE,FALSE
30,17,FALSE,FALSE
31,17,FALSE,FALSE
32,17,FALSE,FALSE
33,17,FALSE,FALSE
34,17,FALSE,FALSE
35,17,FALSE,FALSE
36,17,FALSE,FALSE
37,17,FALSE,FALSE
38,17,FALSE,FALSE
39,17,FALSE,FALSE
40,17,FALSE,FALSE
41,17,FALSE,FALSE
42,17,FALSE,FALSE
43,17,FALSE,FALSE
1,18,TRUE,TRUE
2,18,TRUE,TRUE
3,18,TRUE,TRUE
4,18,TRUE,TRUE
5,18,TRUE,TRUE
6,18,TRUE,TRUE
7,18,TRUE,TRUE
8,18,TRUE,TRUE
9,18,TRUE,TRUE
10,18,TRUE,TRUE
11,18,TRUE,TRUE
12,18,TRUE,TRUE
13,18,TRUE,TRUE
14,18,TRUE,TRUE
15,18,TRUE,TRUE
16,18,TRUE,TRUE
17,18,FALSE,FALSE
18,18,FALSE,FALSE
19,18,FALSE,FALSE
20,18,FALSE,FALSE
21,18,FALSE,FALSE
22,18,FALSE,FALSE
23,18,FALSE,FALSE
24,18,FALSE,FALSE
25,18,FALSE,FALSE
26,18,FALSE,FALSE
27,18,FALSE,FALSE
28,18,FALSE,FALSE
29,18,FALSE,FALSE
30,18,FALSE,FALSE
31,18,FALSE,FALSE
32,18,FALSE,FALSE
33,18,FALSE,FALSE
34,18,FALSE,FALSE
35,18,FALSE,FALSE
36,18,FALSE,FALSE
37,18,FALSE,FALSE
38,18,FALSE,FALSE
39,18,FALSE,FALSE
40,18,FALSE,FALSE
41,18,FALSE,FALSE
42,18,FALSE,FALSE
43,18,FALSE,FALSE
1,19,TRUE,TRUE
2,19,TRUE,TRUE
3,19,TRUE,TRUE
4,19,TRUE,TRUE
5,19,TRUE,TRUE
6,19,TRUE,TRUE
7,19,TRUE,TRUE
8,19,TRUE,TRUE
9,19,TRUE,TRUE
10,19,TRUE,TRUE
11,19,TRUE,TRUE
12,19,TRUE,TRUE
13,19,TRUE,TRUE
14,19,TRUE,TRUE
15,19,TRUE,TRUE
16,19,TRUE,TRUE
17,19,FALSE,FALSE
18,19,FALSE,FALSE
19,19,FALSE,FALSE
20,19,FALSE,FALSE
21,19,FALSE,FALSE
22,19,FALSE,FALSE
23,19,FALSE,FALSE
24,19,FALSE,FALSE
25,19,FALSE,FALSE
26,19,FALSE,FALSE
27,19,FALSE,FALSE
28,19,FALSE,FALSE
29,19,FALSE,FALSE
30,19,FALSE,FALSE
31,19,FALSE,FALSE
32,19,FALSE,FALSE
33,19,FALSE,FALSE
34,19,FALSE,FALSE
35,19,FALSE,FALSE
36,19,FALSE,FALSE
37,19,FALSE,FALSE
38,19,FALSE,FALSE
39,19,FALSE,FALSE
40,19,FALSE,FALSE
41,19,FALSE,FALSE
42,19,FALSE,FALSE
43,19,FALSE,FALSE
1,20,TRUE,TRUE
2,20,TRUE,TRUE
3,20,TRUE,TRUE
4,20,TRUE,TRUE
5,20,TRUE,TRUE
6,20,TRUE,TRUE
7,20,TRUE,TRUE
8,20,TRUE,TRUE
9,20,TRUE,TRUE
10,20,TRUE,TRUE
11,20,TRUE,TRUE
12,20,TRUE,TRUE
13,20,TRUE,TRUE
14,20,TRUE,TRUE
15,20,TRUE,TRUE
16,20,TRUE,TRUE
17,20,FALSE,FALSE
18,20,FALSE,FALSE
19,20,FALSE,FALSE
20,20,FALSE,FALSE
21,20,FALSE,FALSE
22,20,FALSE,FALSE
23,20,FALSE,FALSE
24,20,FALSE,FALSE
25,20,FALSE,FALSE
26,20,FALSE,FALSE
27,20,FALSE,FALSE
28,20,FALSE,FALSE
29,20,FALSE,FALSE
30,20,FALSE,FALSE
31,20,FALSE,FALSE
32,20,FALSE,FALSE
33,20,FALSE,FALSE
34,20,FALSE,FALSE
35,20,FALSE,FALSE
36,20,FALSE,FALSE
37,20,FALSE,FALSE
38,20,FALSE,FALSE
39,20,FALSE,FALSE
40,20,FALSE,FALSE
41,20,FALSE,FALSE
42,20,FALSE,FALSE
43,20,FALSE,FALSE
1,21,TRUE,TRUE
2,21,TRUE,TRUE
3,21,TRUE,TRUE
4,21,TRUE,TRUE
5,21,TRUE,TRUE
6,21,TRUE,TRUE
7,21,TRUE,TRUE
8,21,TRUE,TRUE
9,21,TRUE,TRUE
10,21,TRUE,TRUE
